Date,Game,Opposition,Home/Away,Metric,Value
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Opposition Entries,5
2025-01-18,Twickenham (H),Twickenham,H,Opposition Entries,13
2025-02-08,Hove (A),Hove,A,Opposition Entries,7
2024-09-07,London Cornish (H),London Cornish,H,Opposition Tries,2
2024-10-12,Hove (H),Hove,H,Opposition Tries,5
2024-10-19,Twickenham (A),Twickenham,A,Opposition Tries,6
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Opposition Tries,5
2024-11-09,Eastbourne (A),Eastbourne,A,Opposition Tries,4
2024-11-16,Trinity (H),Trinity,H,Opposition Tries,7
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Opposition Tries,1
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Opposition Tries,4
2025-01-18,Twickenham (H),Twickenham,H,Opposition Tries,7
2025-02-08,Hove (A),Hove,A,Opposition Tries,2
2024-09-07,London Cornish (H),London Cornish,H,Opposition Efficiency (%),0.33
2024-10-12,Hove (H),Hove,H,Opposition Efficiency (%),0.56
2024-10-19,Twickenham (A),Twickenham,A,Opposition Efficiency (%),0.6
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Opposition Efficiency (%),0.42
2024-11-09,Eastbourne (A),Eastbourne,A,Opposition Efficiency (%),0.5
2024-11-16,Trinity (H),Trinity,H,Opposition Efficiency (%),0.47000000000000003
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Opposition Efficiency (%),0.14
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Opposition Efficiency (%),0.8
2025-01-18,Twickenham (H),Twickenham,H,Opposition Efficiency (%),0.54
2025-02-08,Hove (A),Hove,A,Opposition Efficiency (%),0.29
2024-09-07,London Cornish (H),London Cornish,H,Attacking Entries,7
2024-10-12,Hove (H),Hove,H,Attacking Entries,13
2024-10-19,Twickenham (A),Twickenham,A,Attacking Entries,10
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Attacking Entries,6
2024-11-09,Eastbourne (A),Eastbourne,A,Attacking Entries,8
2024-11-16,Trinity (H),Trinity,H,Attacking Entries,8
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Attacking Entries,8
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Attacking Entries,6
2025-01-18,Twickenham (H),Twickenham,H,Attacking Entries,6
2025-02-08,Hove (A),Hove,A,Attacking Entries,3
2024-09-07,London Cornish (H),London Cornish,H,Attacking Tries,2
2024-10-12,Hove (H),Hove,H,Attacking Tries,3
2024-10-19,Twickenham (A),Twickenham,A,Attacking Tries,5
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Attacking Tries,4
2024-11-09,Eastbourne (A),Eastbourne,A,Attacking Tries,5
2024-11-16,Trinity (H),Trinity,H,Attacking Tries,2
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Attacking Tries,2
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Attacking Tries,1
2025-01-18,Twickenham (H),Twickenham,H,Attacking Tries,2
2025-02-08,Hove (A),Hove,A,Attacking Tries,1
2024-09-07,London Cornish (H),London Cornish,H,Attacking Efficiency (%),0.29
2024-10-12,Hove (H),Hove,H,Attacking Efficiency (%),0.23
2024-10-19,Twickenham (A),Twickenham,A,Attacking Efficiency (%),0.5
2024-10-26,KCS Old Boys (H),KCS Old Boys,H,Attacking Efficiency (%),0.67
2024-11-09,Eastbourne (A),Eastbourne,A,Attacking Efficiency (%),0.63
2024-11-16,Trinity (H),Trinity,H,Attacking Efficiency (%),0.25
2024-12-15,Old Haileyburians (H),Old Haileyburians,H,Attacking Efficiency (%),0.25
2025-01-04,Weybridge Vandals (H),Weybridge Vandals,H,Attacking Efficiency (%),0.17
2025-01-18,Twickenham (H),Twickenham,H,Attacking Efficiency (%),0.33
2025-02-08,Hove (A),Hove,A,Attacking Efficiency (%),0.33
2024-09-07,London Cornish (H),London Cornish,H,Tackles Made,55
2024-10-12,Hove (H),Hove,H,Tackles Made,97
