match_id,season,date,date_raw,competition,home_team,away_team,home_score,away_score
401816,2013-2014,2013-09-21,"Saturday, 21 Sep 2013",Division 2 South,East Grinstead II,Westcombe Park Extra A XV,20,18
401832,2013-2014,2013-10-12,"Saturday, 12 Oct 2013",Division 2 South,Richmond Saxons (3rd XV),East Grinstead II,64,5
401837,2013-2014,2013-10-26,"Saturday, 26 Oct 2013",Division 2 South,East Grinstead II,Rams II,,
401841,2013-2014,2013-11-02,"Saturday, 02 Nov 2013",Division 2 South,Barnes 2nd XV,East Grinstead II,10,0
401863,2013-2014,2013-12-14,"Saturday, 14 Dec 2013",Division 2 South,Guildford 2nd XV,East Grinstead II,0,10
401865,2013-2014,2013-12-21,"Saturday, 21 Dec 2013",Division 2 South,East Grinstead II,London Irish Amateur Wanderers (2nd XV),0,10
401870,2013-2014,2014-01-04,"Saturday, 04 Jan 2014",Division 2 South,Westcombe Park Extra A XV,East Grinstead II,10,0
401953,2013-2014,2014-01-25,"Saturday, 25 Jan 2014",Division 2 South,East Grinstead II,Richmond Saxons (3rd XV),0,10
401855,2013-2014,2014-02-01,"Saturday, 01 Feb 2014",Division 2 South,Dorking A XV,East Grinstead II,10,0
401958,2013-2014,2014-02-08,"Saturday, 08 Feb 2014",Division 2 South,Rams II,East Grinstead II,,
401813,2013-2014,2014-02-22,"Saturday, 22 Feb 2014",Division 2 South,London Irish Amateur Wanderers (2nd XV),East Grinstead II,20,24
401964,2013-2014,2014-03-08,"Saturday, 08 Mar 2014",Division 2 South,East Grinstead II,Barnes 2nd XV,,
401977,2013-2014,2014-03-22,"Saturday, 22 Mar 2014",Division 2 South,East Grinstead II,Dorking A XV,11,50
401982,2013-2014,2014-04-05,"Saturday, 05 Apr 2014",Division 2 South,East Grinstead II,Guildford 2nd XV,,
401989,2013-2014,2014-04-12,"Saturday, 12 Apr 2014",Division 2 South,Hammersmith & Fulham II,East Grinstead II,10,0
432897,2014-2015,2014-09-20,"Saturday, 20 Sep 2014",Division 3,Richmond Normans (4th XV),East Grinstead II,32,3
432903,2014-2015,2014-09-27,"Saturday, 27 Sep 2014",Division 3,East Grinstead II,Rosslyn Park Hatters (5th XV),0,20
432906,2014-2015,2014-10-04,"Saturday, 04 Oct 2014",Division 3,East Grinstead II,Old Reigatian 2nd XV,20,0
432911,2014-2015,2014-10-11,"Saturday, 11 Oct 2014",Division 3,East Grinstead II,Chinnor II,20,0
432915,2014-2015,2014-10-18,"Saturday, 18 Oct 2014",Division 3,East Grinstead II,London Scottish Claymores (Amateurs 2nd XV),28,7
432922,2014-2015,2014-10-25,"Saturday, 25 Oct 2014",Division 3,East Grinstead II,Rams II,0,25
432926,2014-2015,2014-11-01,"Saturday, 01 Nov 2014",Division 3,East Grinstead II,Ealing Men's 1sts,34,5
432932,2014-2015,2014-12-06,"Saturday, 06 Dec 2014",Division 3,East Grinstead II,Esher Development XV,83,7
432937,2014-2015,2014-12-13,"Saturday, 13 Dec 2014",Division 3,London Cornish 2nd XV,East Grinstead II,,
432941,2014-2015,2015-01-17,"Saturday, 17 Jan 2015",Division 3,Rosslyn Park Hatters (5th XV),East Grinstead II,6,15
432945,2014-2015,2015-01-24,"Saturday, 24 Jan 2015",Division 3,Old Reigatian 2nd XV,East Grinstead II,,
432950,2014-2015,2015-01-31,"Saturday, 31 Jan 2015",Division 3,Chinnor II,East Grinstead II,,
432959,2014-2015,2015-02-07,"Saturday, 07 Feb 2015",Division 3,London Scottish Claymores (Amateurs 2nd XV),East Grinstead II,,
432960,2014-2015,2015-02-21,"Saturday, 21 Feb 2015",Division 3,Rams II,East Grinstead II,20,0
432967,2014-2015,2015-02-28,"Saturday, 28 Feb 2015",Division 3,Ealing Men's 1sts,East Grinstead II,41,10
432971,2014-2015,2015-03-07,"Saturday, 07 Mar 2015",Division 3,Esher Development XV,East Grinstead II,20,0
432977,2014-2015,2015-03-28,"Saturday, 28 Mar 2015",Division 3,East Grinstead II,London Cornish 2nd XV,0,20
432982,2014-2015,2015-04-11,"Saturday, 11 Apr 2015",Division 3,East Grinstead II,Richmond Normans (4th XV),,
517141,2015-2016,2015-09-19,"Saturday, 19 Sep 2015",Division 3 - Conf 4,East Grinstead II,Wimbledon 2nd XV,13,13
517150,2015-2016,2015-09-26,"Saturday, 26 Sep 2015",Division 3 - Conf 4,Guildford 2nd XV,East Grinstead II,24,46
517158,2015-2016,2015-10-03,"Saturday, 03 Oct 2015",Division 3 - Conf 4,East Grinstead II,Chobham 2nd XV,48,5
517166,2015-2016,2015-10-10,"Saturday, 10 Oct 2015",Division 3 - Conf 4,Twickenham 2nd XV,East Grinstead II,,
516958,2015-2016,2015-10-24,"Saturday, 24 Oct 2015",Division 3 - Conf 1,Hammersmith & Fulham II,East Grinstead II,13,22
516961,2015-2016,2015-11-07,"Saturday, 07 Nov 2015",Division 3 - Conf 1,East Grinstead II,London Scottish Claymores (Amateurs 2nd XV),73,0
516963,2015-2016,2015-11-14,"Saturday, 14 Nov 2015",Division 3 - Conf 1,Esher Development XV,East Grinstead II,,
516966,2015-2016,2015-11-21,"Saturday, 21 Nov 2015",Division 3 - Conf 1,East Grinstead II,Old Reigatian 2nd XV,55,5
