match_id,season,league,date,home_team,away_team,home_score,away_score
1255030,2025-2026,Counties 3 Sussex,2025-12-13,Crowborough II,Uckfield,22,7
1232408,2025-2026,Counties 3 Sussex,2025-12-20,Crowborough II,East Grinstead II,WO,
1232405,2025-2026,Counties 3 Sussex,2025-12-20,Shoreham II,Worthing III,,WO
1255033,2025-2026,Counties 3 Sussex,2025-12-20,Uckfield,Hove II,22,12
1232406,2025-2026,Counties 3 Sussex,2025-12-20,Hellingly,Burgess Hill,47,7
1232407,2025-2026,Counties 3 Sussex,2025-12-20,Haywards Heath II,Horsham Barbarians,15,12
1233132,2025-2026,Counties 3 Sussex,2026-01-10,Hove II,Shoreham II,45,5
1233129,2025-2026,Counties 3 Sussex,2026-01-10,Horsham Barbarians,Crowborough II,35,0
1233131,2025-2026,Counties 3 Sussex,2026-01-10,Worthing III,Hellingly,33,24
1233130,2025-2026,Counties 3 Sussex,2026-01-10,Burgess Hill,Haywards Heath II,30,24
1255040,2025-2026,Counties 3 Sussex,2026-01-10,East Grinstead II,Uckfield,28,21
1233134,2025-2026,Counties 3 Sussex,2026-01-17,Haywards Heath II,Hove II,41,19
1255046,2025-2026,Counties 3 Sussex,2026-01-17,Horsham Barbarians,Uckfield,39,7
1233135,2025-2026,Counties 3 Sussex,2026-01-17,Crowborough II,Worthing III,40,0
1233133,2025-2026,Counties 3 Sussex,2026-01-17,Hellingly,Shoreham II,WO,
1233136,2025-2026,Counties 3 Sussex,2026-01-17,East Grinstead II,Burgess Hill,13,5
1233141,2025-2026,Counties 3 Sussex,2026-01-24,Hove II,Crowborough II,28,17
1233139,2025-2026,Counties 3 Sussex,2026-01-24,Burgess Hill,Horsham Barbarians,46,21
1233138,2025-2026,Counties 3 Sussex,2026-01-24,Shoreham II,Haywards Heath II,,WO
1233140,2025-2026,Counties 3 Sussex,2026-01-24,Worthing III,East Grinstead II,31,12
1255048,2025-2026,Counties 3 Sussex,2026-01-24,Uckfield,Hellingly,45,5
1233164,2025-2026,Counties 3 Sussex,2026-01-31,Horsham Barbarians,Haywards Heath II,WO,
1233146,2025-2026,Counties 3 Sussex,2026-02-14,Horsham Barbarians,Worthing III,,WO
1233145,2025-2026,Counties 3 Sussex,2026-02-14,East Grinstead II,Hove II,47,7
1255050,2025-2026,Counties 3 Sussex,2026-02-14,Burgess Hill,Uckfield,41,14
1233143,2025-2026,Counties 3 Sussex,2026-02-14,Haywards Heath II,Hellingly,40,0
1233144,2025-2026,Counties 3 Sussex,2026-02-14,Crowborough II,Shoreham II,57,17
1233149,2025-2026,Counties 3 Sussex,2026-02-28,Hellingly,Crowborough II,WO,
1233148,2025-2026,Counties 3 Sussex,2026-02-28,Shoreham II,East Grinstead II,15,13
1233151,2025-2026,Counties 3 Sussex,2026-02-28,Hove II,Horsham Barbarians,42,7
1233150,2025-2026,Counties 3 Sussex,2026-02-28,Worthing III,Burgess Hill,52,12
1255053,2025-2026,Counties 3 Sussex,2026-02-28,Uckfield,Haywards Heath II,24,20
1255717,2025-2026,Counties 3 Sussex,2026-03-07,Uckfield,Worthing III,53,31
1233155,2025-2026,Counties 3 Sussex,2026-03-07,Horsham Barbarians,Shoreham II,WO,
1233154,2025-2026,Counties 3 Sussex,2026-03-07,East Grinstead II,Hellingly,31,5
1233157,2025-2026,Counties 3 Sussex,2026-03-07,Burgess Hill,Hove II,18,12
1233153,2025-2026,Counties 3 Sussex,2026-03-07,Crowborough II,Haywards Heath II,41,7
